Africa	n.非洲
introduction	[,intrə;'dʌ;kʃ;ə;n] n.介绍,传入,初步,导言,绪论,入门
introductory	[,intrə;'dʌ;ktə;ri] adj.介绍性的
introgression	n.基因渗入,渐渗现象
introit	['intrɔ;it] n.入祭文,圣餐式前所唱的赞美歌
introject	v.(思想,感情,信念等)融合,[心]使他人态度
intromission	[,intrə;u'miʃ;ə;n] n.插入,入场许可,干涉,干预
intromit	[,intrə;u'mit] vt.使进入,插入
intromittent	adj.插入的
introrse	[in'trɔ;:s] adj.[植](花药等)内曲的,内向的
introspect	[,intrə;u'spekt] v.内省,内观
introspection	[,intrə;u'spekʃ;ə;n] n.内省,反省,自省
introspective	[,intrə;u'spektiv] adj.(好)内省的,(好)自省的,(好)反省的
introversion	[,intrə;u'və;:ʃ;ə;n] n.内向性,内省性
introvert	['intrə;u,və;:t] n.格性内向的人
introverted	['intrə;və;:tid] adj.内向的,含蓄的,闭关自守的
intrude	[in'tru:d] vi.闯入,侵入vt.强挤入,把(自己的思想)
intruder	[in'tru:də;] n.入侵者
intrusion	[in'tru:ʒ;ə;n] n．私闯，干扰
intrusive	[in'tru:siv] adj.打扰的,插入的
intrust	[in'trʌ;st] vt.信托,交托,信赖
intubate	['intjubeit] vt.把管子插进
intuit	[in'tjuit] v.由直觉知道
intuition	[,intju:'iʃ;ə;n] n.直觉,直觉的知识
intuitional	[,intju:'iʃ;ə;nə;l] adj.直觉的,直观的
intuitionism	[,intju:'iʃ;ə;nizə;m] n.直觉说,直观论
intuitive	[in'tju:itiv] adj.直觉的
intuitively	[in'tju:itivli] adv.直觉地,直观地
intumesce	[,intju:'mes] vi.(因受热等)膨胀,肿大,隆起,沸腾
intumescence	[,intju:'mesə;ns] n．肿大，肿胀
intumescent	[,intju:'mesnt] adj.膨胀的,肿大的
intussuscept	[,intə;ssə;'sept] v.摄取,吸收
intussusception	[,intə;ssə;'sepʃ;ə;n] n.肠套叠
inulin	['injulin] n.[化]菊粉
inunction	[in'ʌ;ŋ;kʃ;ə;n] n.涂油,涂擦
inundate	['inʌ;ndeit] v.淹没
inundation	[,inʌ;n'deiʃ;ə;n] n.洪水
inurbane	[,inə;:'bein] adj.粗野的,粗鄙的,无理的
inurbanity	[inə;:'bæ;niti] n.粗鄙,无礼粗野
inure	[in'juə;] vt.使习惯vi.生效
inured	[in'juə;] adj．习惯的
inurn	[in'ə;:n] vt.把骨灰装罐,埋葬
inutile	[in'ju:til] adj.无益的,无用的,赚不到钱
inutility	[inju'tiliti] n.没有益处,没有用,无益的物
invade	[in'veid] vt.侵略,侵袭,拥挤
invader	[in'veidə;] n.侵略者
invaginate	[in'væ;dʒ;ineit] v.收进鞘中,套进内部
invagination	[in,væ;dʒ;i'neiʃ;ə;n] 内陷入鞘套入
invalid	['invə;li:d] n.病人,残废者adj.有病的,残废的
invalidate	[in'væ;lideit] vt.使无效
invalidism	['invə;lidizə;m] n.病弱,病身
invalidity	[,invə;'liditi] n.无效力
invaluable	[in'væ;ljuə;bl] adj.无价的,价值无法衡量的
invariability	[in,vɛ;ə;riə;'biliti] n.不变性
invariable	[in'vɛ;ə;riə;bl] n.不变的,永恒的adj.[数]不变的,不变量
invariably	[in'vɛ;ə;riə;bli] adv.不变地,总是n.总是
invariance	[in'vɛ;ə;riə;ns] n.不变性,恒定性
invariant	[in'vɛ;ə;riə;nt] adj.无变化的,不变的n.[数]不变式,不变
invasion	[in'veiʒ;ə;n] n.入侵
invasive	[in'veisiv] adj.入侵的
invective	[in'vektiv] n.恶言漫骂adj.漫骂的,非难的,恶言的
inveigh	[in'vei] vi.猛烈抨击,痛骂,漫骂
inveigle	[in'vi:gl] v.诱骗
invent	[in'vent] vt.发明,创造v.发明
invention	[in'venʃ;ə;n] n.发明,创造
inventive	[in'ventiv] adj.善于创造的,发明的
inventiveness	[in'ventivnis] 有发明创造能力独创性独创能力
inventor	[in'ventə;] n.发明家
inventory	['invə;ntri] n.详细目录,存货,财产清册,总量
inverness	[,invə;'nes] 长披风,带护肩的斗篷
inverse	['in'və;:s] adj.倒转的,反转的n.反面v.倒转
inversely	[in'və;:sli] adv.相反地,倒转地
inversion	[in'və;:ʃ;ə;n] n.倒置
inversive	[in'və;:siv] adj.反逆的
invert	[in'və;:t] adj.转化的vt.使颠倒,使转化n.颠倒的事
invertase	n.转化酵素
invertebrate	[in'və;:tibrit] adj.无脊椎的,无骨气的n.无脊椎动物,无
inverted	[in'və;:t] adj.反向的,倒转的
inverter	[in'və;:tə;] n.反用换流器,变极器
invest	[in'vest] v.投(资),购买(有用之物)～,授予,投资
investable	adj.可供投资的
investigate	[in'vestigeit] v.调查,研究
investigation	[in,vesti'geiʃ;ə;n] n.调查,研究
investigative	[in'vestigeitiv] adj.研究的,好研究的
investigator	[in'vestigeitə;] n.调查人
investiture	[in'vestitʃ;ə;] n．任职仪式，授权仪式
investment	[in'vestmə;nt] n.投资,可获利的东西
investor	[in'vestə;] n.投资者
inveteracy	[in'vetə;rə;si] n.根深蒂固,积习
inveterate	[in'vetə;rit] adj.根深的,成癖的
inveterately	adv.根深蒂固地,积习地
inviable	[in'vaiə;bl] adj.不可能生存的
invidious	[in'vidiə;s] adj.易招嫉妒的,不公平的,诽谤的
invigilate	[in'vidʒ;ileit] vi.看守,监考
invigilation	[in,vidʒ;i'leiʃ;ə;n] 监考-lator
invigilator	[in'vidʒ;ileitə;] n.<英>监考人
invigorate	[in'vigə;reit] v.鼓舞
invigorated	[in'vigə;reitid] 鼓舞
invigorating	[in'vigə;reit] adj.精神充沛的,爽快的
invigoratingly	
invigoration	[in,vigə;'reiʃ;ə;n] n.鼓舞
invigorator	[in'vigə;reitə;] n.补药,强壮剂
invincibility	[in'vinsi'biliti] n.无敌,绝对不败
invincible	[in'vinsibl] adj.不能征服的,无敌的
invincibly	[in'vinsə;bli] adv.难战胜地,无敌地
inviolability	[in,vaiə;lə;'biliti] n.神圣,不可亵渎,不可侵犯
inviolable	[in'vaiə;lə;bl] adj.神圣的,不可亵渎的,不可侵犯的
inviolably	[in'vaiə;lə;bli] adv.不可侵犯地
inviolate	[in'vaiə;lit] adj.未亵渎的,无污点的,未受侵犯的
inviscid	非粘滞性的无韧性的不能展延的
invisibility	[in,vizə;'biliti] n.看不清,看不见的东西,难看见
invisible	[in'vizə;bl] adj.看不见的,无形的
invisibly	[in'vizə;bli] adv.看不见地,看不出地
invitation	[,invi'teiʃ;ə;n] n.邀请,招待
invitatory	[in'vaitə;tə;ri] adj.邀请的
invite	[in'vait] vt.邀请,引起n.邀请
inviting	[in'vaitiŋ;] adj.引人动心的,有魅力的
invocate	['invə;keit] vt.<古>=invoke
invocation	[,invə;u'keiʃ;ə;n] n.祈祷,符咒
invoice	['invɔ;is] n.发票,发货单,货物v.开发票,记清单
invoke	[in'və;uk] v.调用
involucel	[in'vɔ;lju,sel] n.[植]小总苞
involucrate	[,invə;'lu:krit] adj.[植]有花被的有蒴包的有总苞的
involucre	['invə;lju:kə;] 花被蒴苞总苞
involucrum	[,invə;'lu:krə;m] n.[植]总苞,[解]包膜
involuntarily	[in'vɔ;lə;ntə;rili] adv.不知不觉地,无心地
involuntariness	无意识或不自觉的性质或状态
involuntary	[in'vɔ;lə;ntə;ri] adj.自然而然的,无意的,不知不觉的,偶然
involute	['invə;lju:t] adj.纷乱的,复杂的n.渐开线vi.恢复原状,消失
involuted	['invə;lu:tid] adj.纷乱的,复杂的,恢复原状的
involution	['invə;'lju:ʃ;ə;n] n.卷绕,回旋
involve	[in'vɔ;lv] vt.包括,笼罩,潜心于,使陷于
involved	[in'vɔ;lvd] adj.棘手的,有关的
involvement	[in'vɔ;lvmə;nt] n.连累,包含
invulnerability	[in,vʌ;lnə;rə;'biliti] n.不会受伤害,刀枪不入
invulnerable	[in'vʌ;lnə;rə;bl] adj.不会受伤害的,无懈可击的
inward	['inwə;d] adv.向内,在内adj.向内的,内在的
inwardly	['inwə;dli] adv.在内部地,小声地,思想上,本质上
inwardness	['inwə;dnis] n.内在性质,心性,亲密,灵性
inwards	['inwə;dz] adv.向内地,向内部地
inweave	['in'wi:v] vt.使交织,使合织,使织入
inwrought	['in'rɔ;:t] adj.刺绣的,嵌入的,织入的
io	[域]BritishIndianOceanTerritory,英
iodate	vt.以碘处理n.碘酸盐
iodic	[ai'ɔ;dik] adj.碘的
iodide	['aiə;daid] n.[化]碘化物
iodine	['aiə;dai:n] n.碘,碘酒
iodize	['aiə;daiz] vt.用碘处理,使含有碘
iodoform	[ai'ɔ;də;fɔ;:m] n.三碘甲烷,碘仿
iodopsin	[aiə;'dɔ;psin] n.[生化]视紫蓝质,视青紫素
iodous	[ai'ə;udə;s] 亚碘的
ion	['aiə;n] n.离子
ionium	[ai'ə;uniə;m] n.一种化学元素
ionization	[,aiə;nai'zeiʃ;ə;n] n.离子化,电离
ionize	['aiə;naiz] vt.使离子化vi.电离
ionosphere	[ai'ɔ;nə;sfiə;] n.电离层
iota	[ai'ə;utə;] n.希腊语字母第9位,极微小
iotacism	希腊字母I(iota)或其发音的过分使用和重复
irascibility	[i,ræ;si'biliti] n.易怒,脾气暴躁
irascible	[i'ræ;sibl] adj.易怒的,暴躁的
irascibly	[i'ræ;sibli] adv.易怒地,脾气暴躁地
irate	[ai'reit] n．发怒的．
ire	['aiə;] n.忿怒
ireful	['aiə;fə;l] adj.忿怒的
irenic	[ai'ri:nik] adj.和平主义的,和平的
iridaceous	[,aiə;ri'deiʃ;ə;s] adj.[植]鸢尾科的,鸢尾属的
irides	['iə;ri,di:z] [植]鸢尾科植物,彩虹
iridescence	[,iri'desns] n.彩虹色
iridescent	['iri'desnt] adj.彩虹色的,闪光的
iridic	[i'ridik] 铱的含铱的含四价铱化合物的
iridium	[ai'ridiə;m] n.[化]铱
iridosmine	n.[矿]铱锇矿
iris	['airis] n.[解]虹膜,鸢尾属植物,[希神]彩虹之女神
irk	[ə;:k] vt.使厌倦,使苦恼
irksome	['ə;:ksə;m] adj.令人厌恶的,讨厌的,令人厌烦的
iron	['aiə;n] n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服
ironclad	['aiə;nklæ;d] adj.装甲的,打不破的
ironer	['aiə;nə;] n.烫衣工
ironic	[ai'rɔ;nik] adj.说反话的,讽刺的
ironical	[ai'rɔ;nikə;l] adj.讽刺的,用反语的
ironically	[ai'rɔ;nikli] adv.说反话地,讽刺地
ironist	['aiə;rə;nist] n.讽刺家,讽刺作家
ironmaster	铁工厂厂长
ironmonger	['aiə;n'mʌ;ŋ;gə;] n.铁器商,五金商
ironstone	['aiə;nstə;un] n.铁矿石
ironware	['aiə;nwɛ;ə;] n.铁器,金属器具
ironwood	['aiə;nwud] n.硬木
ironwork	['aiə;nwə;:k] n.铁制品,铁制部分
ironworker	['aiə;n,wə;:kə;] 铁工场工人
ironworks	['aiə;nwə;:ks] n.铁工厂
irony	['aiə;rə;ni] n.反话,讽刺,讽刺之事
irradiance	[i'reidiə;ns] n.发光,光辉
irradiant	[i'reidiə;nt] adj.光辉的,灿烂的
irradiate	[i'reidieit] v.照射
irradiation	[i,reidi'eiʃ;ə;n] n.放射,照射
irradiative	[i'reidi,eitiv] adj.会发光的,有启发作用的
irradicable	adj.不能根除的根深蒂固的
irrational	[i'ræ;ʃ;ə;nə;l] adj.无理性的,失去理性的
irrationalism	[i'ræ;ʃ;ə;nlizə;m] n.不合理的思想,反理性主义
irrationality	[i,ræ;ʃ;ə;'næ;liti] n.不合理
irrationally	[i'ræ;ʃ;ə;nli] adv.不合理地,无理性地
irreclaimable	[,iri'kleimə;bl] adj.不可恢复的,不可矫正的,不能开垦的
irreconcilable	[i'rekə;nsailə;bl] adj.不能协调的,矛盾的
irreconcilably	
irrecoverable	[,iri'kʌ;və;rə;bl] adj.无可挽救的
irrecusable	[,iri'kju:zə;bl] adj.不能反对的
irredeemable	[,iri'di:mə;bl] adj.不能赎回的,不能兑现的,不可救药的
irredeemably	[,iri'di:mə;bli] 
irredenta	[,iri'dentə;] (根据历史或居民的种族)应属一国而被另一国
irredentism	['iri'dentizə;m] (尤指19世纪意大利的)领土收复主义
irreducible	[,iri'dju:sə;bl] adj.不能复归的,不能削减的,[数]不可约分的
irreducibly	[,iri'dju:sə;bli] 不能缩小
irreflexive	adj.不反射的
irrefragable	[i'refrə;gə;bl] 不能否定的,不可争辩的adj.不能反驳的
irrefrangible	[,iri'fræ;ndʒ;ibl] adj.不能违犯的,不能屈折的
irrefutable	[i'refjutə;bl] adj.不能反驳的,不能驳倒的
irrefutably	[i'refjutə;bli] 
irregardless	[,iri'gɑ;:dlis] adj.&adv.<口><非规范>=regardless
irregular	[i'regjulə;] adj.不规则的,无规律的
irregularity	[,iregju'læ;riti] n.不规则,无规律
irregularly	[i'regjulə;li] adv.不规则地
irrelative	[i'relə;tiv] adj.无关系的
irrelevance	[i'relivə;ns] n.枝节问题
irrelevant	[i'relivə;nt] adj.不相关的adj.不相关的,不切题的
irreligion	[,iri'lidʒ;ə;n] n.无宗教,反宗教
irreligious	[,iri'lidʒ;ə;s] adj.没有宗教信仰的,无宗教的,无信仰的
irremeable	[i'remiə;bl] [古]一去不复返的,无法恢服原状的
irremediable	[,iri'mi:diə;bl] adj.不能治疗的,不能挽回的
irremediably	[,iri'mi:diə;bli] 
irreparable	[i'repə;rə;bl] adj.不能挽回的
irreparably	[i'repə;rə;bli] adv.不能挽回地,不能恢复地
irrepealable	[,iri'pi:lə;bl] adj.不可撤销的,不可废除的
irreplaceable	[,iri'pleisə;bl] adj.不能调换的,不能代替的
irrepressibility	['iri,presə;'biliti] n.镇压不住
irrepressible	[,iri'presə;bl] adj.镇压不住的,抑制不住的
irrepressibly	[iri'presə;bli] adv.镇压不住地,无法抑制地
irreproachable	[,iri'prə;utʃ;ə;bl] adj．不可指责的，无过失的
irreproachably	[,iri'prə;utʃ;ə;bli] adv.不可非难地,无过失地
irresistible	[,iri'zistə;bl] adj.不可抵抗的,不能压制的
irresistibly	[irə;'zistə;bli] adv.无法抵抗地,不能压制地
irresoluble	[i'rezə;ljubl] adj.不能解决的,不能解释的
irresolute	[i'rezə;lu:t] adj.犹豫不决的
irresolutely	[i'rezə;lu:tli] adv.优柔寡断地
irresoluteness	
irresolution	['i,rezə;'lu:ʃ;ə;n] n.不决断,优柔寡断,犹豫不定
irresolvable	[,iri'zɔ;lvə;bl] adj.不能解决的
irrespective	[,iri'spektiv] adj.不顾的,不考虑的,无关的
irrespirable	[,iri'spaiə;rə;bl] adj.不适于呼吸的
irresponsibility	[,iri,spɔ;nsə;'biliti] n.无责任
irresponsible	[,iri'spɔ;nsə;bl] adj.不负责任的,不可靠的
irresponsibly	[,iri'spɔ;nsə;bli] 不承担责任
irresponsive	[,iris'pɔ;nsiv] adj.无反应的,无答复的,无感应的
irretrievable	[,iri'tri:və;bl] adj.不能挽回的,不能复原的
irretrievably	[iri'tri:və;bli] adv.不能挽回地,不能补救地
irreverence	[i'revə;rə;ns] adj.不尊敬的
irreverent	[i'revə;rə;nt] adj.不尊敬的
irreversible	[,iri'və;:sə;bl] adj.不能撤回的,不能取消的
irreversibly	[,iri'və;:sə;bli] 不能撤消
irrevocable	[i'revə;kə;bl] adj.不能取消的
irrevocably	[i'revə;kə;bli] adv.不能取消地,不能撤回地
irrigate	['irigeit] vt.灌溉,修水利,冲洗伤口,使潮湿vi.进
irrigation	[,iri'geiʃ;ə;n] n.灌溉,冲洗
irritability	[,iritə;'biliti] n.过敏性,兴奋性,易怒
irritable	['iritə;bl] adj.易怒的,急躁的
irritably	['iritə;bli] adv.性急地,暴躁地
irritant	['iritə;nt] n.刺激物adj.刺激的
irritate	['iriteit] vt.激怒,使急躁v.刺激
irritated	['iriteit] adj.恼怒的,生气的
irritating	['iriteit] adj.使愤怒的,刺激的,气人的
irritation	[,iri'teiʃ;ə;n] n.愤怒
irritative	['iriteitiv] adj.刺激性的,刺激的
irrupt	[i'rʌ;pt] vi.突然冲入
irruption	[i'rʌ;pʃ;ə;n] 侵入,急速增加
irruptive	[i'rʌ;ptiv] adj.突入的,深入的,穿入的
is	[iz] prep.是[域]Iceland,冰岛abbr.[军]Int
isallobar	[ais'æ;lə;bɑ;:] n.等气压图
ischium	['iskiə;m] n.坐骨
isinglass	['aiziŋ;glɑ;:s] n.鱼胶,明胶(用作胶粘剂和印刷油墨),云母
islamic	[iz'læ;mik] 
island	['ailə;nd] n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立
islander	['ailə;ndə;] n.岛上居民
isle	[ail] n.小岛,岛vt.使成为岛屿vi.住在岛屿上
islet	['ailit] n.小岛
ism	['izə;m] n.论,说,主义abbr.[军]IntelligentSen
isn't	(=isnot)不是
isoagglutination	[,aisə;uə;,glu:ti'neiʃ;ə;n] n.[生理][动]同种凝集(反应),同族凝集(反应
isoagglutinin	[,aisə;uə;'glu:tə;nin] n.[生]同种凝集素,同族凝集素
isoagglutinogen	n.[生]同种凝集原,同族凝集原
isoalloxazine	n.[化]异咯嗪
isoantibody	n.[生]同种抗体,同族抗体
isoantigen	[,aisə;u'æ;ntidʒ;ə;n] n.[生]同种抗原,同族抗原
isobar	['aisə;ubɑ;:] n.[气]等压线,同重元素,同重核
isobutylene	n.[化]异丁烯
isochromatic	[,aisokrə;u'mæ;tik] adj.[光]等色的,整色性的
isochronal	[ai'sɔ;krə;nl] adj.[物]等时线的
isochronous	[ai'sɔ;krə;nə;s] 同步的[计]等时的
isochroous	adj.各部分同色的
isoclinal	[,aisə;'klainə;l] adj.等倾斜的,等伏角的
isocyanate	n.[化]异氰酸盐(或酯)
isodiametric	等直径的,等轴的
isodimorphism	n.[晶]同二晶(现象)
isodose	n.&adj.[核]等剂量(的),等剂量线(的),同等
isodynamic	[,aisə;dai'næ;mik] adj.[力]等力的,[物]等磁力的n.等磁力线
isoelectric	[物]等电位的,零电位差的
isoelectronic	adj.[核]等电子的(with)
isogamete	n.[生]同形配子
isogamous	adj.[生]同配生殖的
isogloss	['aisə;glɔ;s] n.[语]同言线(语言地图上标示不同语言特点
isogonic	[,aisə;u'gɔ;nik] adj.等偏角的
isogony	n.[生]等称发育,等称增长
isogram	['aisə;græ;m] n.[气]等值线
isohel	['aisə;hel] n.[气]等日照线
isohemolysis	n.[生]同族溶血作用
isohyet	[,aisə;'haiə;t] n.[气]等雨量线
isolate	['aisə;leit] vt.使隔离,使孤立,使绝缘,离析n.隔离种群
isolated	['aisə;leitid] adj.隔离的,孤立的,单独
isolation	[,aisə;'leiʃ;ə;n] n.隔绝,孤立,隔离,绝缘,离析
isolationism	[,aisə;'leiʃ;ə;nizə;m] n.一国的政治上或经济上的孤立主义
isolationist	[,aisə;'leiʃ;nist] n.孤立主义者
isolator	n.隔离的人,隔音装置n.[电]绝缘体
isoline	n.等值线
isomagnetic	n.等磁线adj.等磁线的
isomer	['aisə;mə;] n.异构体
isomeric	[aisə;'merik] adj.同质异构的
isomerism	n.异性
isomerous	[ai'sɔ;mə;rə;s] adj.[昆]等跗节的,[植]等基数的,[化](同分)
isometric	[,aisə;'metrik] adj.等大的,等容积的
isometrics	[,aisə;'metriks] [体]静力锻炼法肌力均衡体操
isometropia	[,aisə;umə;'trə;upiə;] n.(双眼)折光相等,屈光相等
isomorph	['aisə;mɔ;:f] n..同构，同形同形体
isomorphic	[,aisə;u'mɔ;:fik] adj.同形的,[数]同构的
isomorphism	[,aisə;u'mɔ;:fizə;m] n.同形,类质同像
isomorphous	[,aisə;u'mɔ;:fə;s] adj.同形的
isoniazid	[,aisə;u'naiə;zid] n.[药]异烟肼(一种抗结核药)
isonomy	[ai'sɔ;nə;mi] n.法律平等,法律面前人人平等,政治权利平
isooctane	[,aisə;u'ɔ;k,tein] n.[化]异辛烷
isopiestic	adj.等压的
isopleth	['aisə;pleθ;] [气]等值线
isopod	['aisə;pɔ;d] n.等脚类的动物adj.等脚类的
isoprene	['aisə;pri:n] n.橡胶基质
isopropyl	[,aisə;'prə;upil] n.[化]异丙基
isosceles	[ai'sɔ;sili:z] adj.二等边的
isoseismal	[,aisə;'saizmə;l] adj.[地质]等震线的n.等震线
isosmotic	[,aisɔ;z'mɔ;tik] adj.[地]等渗压的
isosporous	adj.[生]具同形孢子的
isostasy	[ai'sɔ;stə;si] n.[地质]地壳均衡说
isotherm	['aisə;uθ;ə;:m] n.[地球物理]等温线
isothermal	['aisə;u'θ;ə;:mə;l] adj.等温的,等温线的n.等温线
isotonic	[,aisə;'tɔ;nik] adj.等分的,等张的,等压的
isotope	['aisə;tə;up] n.[化]同位素
isotopic	同位素的[数]合痕的
isotropic	[,aisə;'trɔ;pik] adj.等方性的
issuance	['iʃ;juə;ns] n.<美>发行,发布
issuant	['isjuə;nt] [罕]发表的发行的
issue	['iʃ;ju:] n.出版,发行,(报刊等)期、号,论点,问题
issueless	adj.无子女的,无结果的
isthmian	['isθ;miə;n] n.地峡区域之居民adj.地峡的,靠近地峡的,
isthmic	n.地峡区域之居民adj.地峡的,靠近地峡的,
isthmus	['ismə;s] n．地峡
istle	['istli] n.中、南美洲产的各种热带植物纤维
it	[it] goeswithoutsaying不言而喻
it'll	itwill的缩写,itshall的缩写
it's	itis的缩写,ithas的缩写
itacolumite	n.[地]可弯砂岩
italic	[i'tæ;lik] adj.[印]斜体的n.<总称>印欧语系,意大利语族,斜体字,斜体
italics	[i'tæ;liks] n.斜体字
itch	[itʃ;] n.发痒,渴望,[医]疥疮(尤指发痒的)vi.发
itching	['itʃ;iŋ;] adj.贪得的,痒的,渴望的
itchy	['itʃ;i] adj.使人发痒的
item	['aitə;m] n.(可分类或列举的)项目,条款,(消息、情
itemization	n.逐条记载,详细登录
itemize	['aitə;maiz] vt.<美>详细说明...项目,逐条列记
iterance	['itə;rə;ns] n.重复,复述
iterant	['itə;rə;nt] adj.重复的,复述的
iterate	['itə;reit] vt.反复说,重申,重述
iteration	[,itə;'reiʃ;ə;n] n.反复
iterative	['itə;rə;tiv] adj.重复的,反复的,[数]迭代的n.反复体
ithyphallic	[,iθ;i'fæ;lik] n.猥亵的诗adj.猥亵的
itineracy	n.巡回
itinerancy	[i'tinə;rə;nsi] n.外勤公务
itinerant	[i'tinə;rə;nt] adj.巡回的n.巡回者
itinerary	[ai'tinə;rə;ri] n.路线
itinerate	[i'tinə;reit] v.巡回
its	[its] pron.它的
itself	[it'self] pron.它本身,它自己
ivied	['aivid] adj.常春藤遮盖着的
ivory	['aivə;ri] n.象牙
ivy	['aivi] n.[植]常春藤adj.常春藤联合会的,名牌大
ixtle	['istli] n.中、南美洲产的各种热带植物纤维
izzard	n.Z字
j	[dʒ;ei] n.字母j
jab	[dʒ;æ;b] v.猛刺n.刺戳
jabber	['dʒ;æ;bə;] v.快而含糊地说,吱吱喳喳地叫,闲聊n.快
jabberwocky	['dʒ;æ;bə;,wɔ;ki] n.无意义的话,无聊的话
jabiru	['dʒ;æ;biru:] n.[动物]鹳（热带美洲产）
jaborandi	[,dʒ;æ;boræ;n'di:] 毛果芸香(产于南美,是芸香科植物的叶干,
jabot	['ʒ;æ;bə;u] n.胸部装饰
jacal	[hɑ;:'kɑ;:l] n.<法>（墨西哥和美国西部的）小茅屋
jacamar	['dʒ;æ;kə;mɑ;:r] n.[鸟]一种食虫鸟(产于美洲之鸟,嘴尖,羽毛
jacana	[,ʒ;ɑ;:sə;'nɑ;:] n.[动]水雉（一种小涉禽,产于热带）
jacaranda	[,dʒ;æ;kə;'ræ;ndə;] n.[植]紫薇科兰花楹属植物n.[植]紫薇科
jacinth	['dʒ;eisinθ;] n.风信子石,橘红色
jack	[dʒ;æ;k] n.(J-)杰克(男子名,也特指各种男性工人),插孔,插座,起重器,千斤顶,男人,(船舰上悬挂的)国旗vt.(用起重器)抬起,提醒,增加,放弃,提高adj.雄的插座,插孔
jack-in-the-box	['dʒ;æ;kinð;ə;bɔ;ks] n.打开盒子即跳出一个奇异小人的玩具盒
jackal	['dʒ;æ;kɔ;:l] n.豺,走狗
jackanapes	['dʒ;æ;kə;neips] n.傲慢的家伙,顽童,猴子
jackass	['dʒ;æ;kæ;s] n.公驴,愚人,傻子
jackassery	n.蠢事,愚蠢
jackboot	['dʒ;æ;kbu:t] n.（过膝的军用）长统靴，铁靴政策（强迫别
jackdaw	['dʒ;æ;kdɔ;:] n.寒鸦
jacket	['dʒ;æ;kit] n.短上衣,夹克,(锅炉、水管等的)套,书籍
jackfruit	['dʒ;æ;kfru:t] n.[植]木菠萝
jackhammer	['dʒ;æ;k,hæ;mə;] n.手提钻
jackie	[美][俗]水手,水兵
jackknife	['dʒ;æ;knaif] n.折叠刀vi对折vt.用折叠刀切
jackleg	['dʒ;æ;kleg] adj.没成熟的,不正直的
jacklight	['dʒ;æ;klait] n.照明灯vi.用照明灯渔猎
jackpot	['dʒ;æ;k,pɔ;t] n.[桥牌]累积赌注,累积奖金
jackshaft	['dʒ;æ;kʃ;æ;ft] n.[汽]中间动轴
jacksnipe	['dʒ;æ;ksnaip] n.小鹬
jackstay	['dʒ;æ;kstei] n.支索,稳定索
jackstraw	['dʒ;æ;kstrɔ;:] n.稻草人
jacquard	[dʒ;ə;'kɑ;:d] adj.花布织机的n.提花机,提花织物
jacquerie	['ʒ;æ;kə;ri] n.<法>扎克雷起义(1358年法国北部农民暴动)
jactation	[dʒ;æ;k'teiʃ;ə;n] n.夸大
jactitation	[,dʒ;æ;kti'teiʃ;ə;n] n.辗转不安
jaculate	vt.向前掷
jade	[dʒ;eid] n.碧玉,翡翠,老马adj.绿色的,玉制的v.
jaded	['dʒ;eidid] adj.疲倦不堪的,厌倦的
jadeite	['dʒ;eidait] n.[矿物]硬玉
jaeger	['jeigə;] n.纯毛织品,[动]贼鸥
jag	[dʒ;æ;g] n.尖齿,一部分,狂欢vt.使成缺口,使成锯
jagged	['dʒ;æ;gid] adj.锯齿状的，有凹口的，（外形）参差不齐
jaggery	['dʒ;æ;gə;ri] n.粗糖（椰汁制）
jaggy	['dʒ;æ;gi] adj.有缺口的,有锯状的
jaguar	['dʒ;æ;gjuə;] n.美洲虎[军](“美洲虎”)英、法合作研制
jail	[dʒ;eil] n.监狱vt.监禁
jailbird	['dʒ;eilbə;:d] n.囚犯
jailbreak	['dʒ;eilbreik] n.越狱,逃狱
jailer	['dʒ;eilə;] n.看守监狱的人,狱卒
jailor	['dʒ;eilə;] n.看守监狱的人,狱卒
jake	[dʒ;eik] adj.满意的,上等的n.<美>乡下佬,家伙
jakes	[dʒ;eiks] n.厕所
jalap	['dʒ;æ;lə;p] n.泻药
jalopy	[dʒ;ə;'lɔ;pi] n.破旧车,破旧的飞机
jalousie	['ʒ;æ;luzi:] n.百叶窗
jam	[dʒ;æ;m] n.果酱,拥挤,堵塞,困境vt.挤进,使塞满
jamb	[dʒ;æ;m] n．门窗的侧柱
jambalaya	[,dʒ;ʌ;mbə;'laiə;] n.什锦菜肴
jambeau	['dʒ;æ;mbə;u] n.(中世纪的)胫甲,护胫铠甲
jamboree	[,dʒ;æ;mbə;'ri:] n.(尤指国际性或全国性的)少年团体大会,喧
jangle	['dʒ;æ;ŋ;gl] v.刺耳响n.吵嚷
janitor	['dʒ;æ;nitə;] n.看门人
japan	[dʒ;ə;'pæ;n] vt-nn-油日本漆
jape	[dʒ;eip] v.开玩笑n.笑话
japonica	[dʒ;ə;'pɔ;nikə;] n.日本产植物
jar	[dʒ;ɑ;:] n.震动,刺耳声,震惊,争吵,罐,广口瓶v
jardiniere	[,ʒ;ɑ;:di'njɛ;ə;] n.<法>花瓶,花架,(陶瓷)大花盆托
jargon	['dʒ;ɑ;:gə;n] n.行话
jargonize	['dʒ;ɑ;:gə;naiz] v.用术语讲,说行话
jargoon	n.特殊用语,行话,使用专门术语的话,[矿]烟
